Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0187338658	3570.98801	3570.98801	3570.98801	3570.98801	0	0	0	0	0	0	0	3
2	1	0	0.0374677315	986.35227	2278.67014	986.35227	3570.98801	1292.31787	0	0	0	0	0	0	3
3	1	0	0.0562015973	440.626915	1665.98906	440.626915	3570.98801	1904.99894	0	0	0	0	0	0	3
4	1	0	0.074935463	194.9095	1298.21917	194.9095	3570.98801	2272.76884	0	0	0	0	0	0	3
5	2	0	0.0936693288	215.890045	1081.75335	194.9095	3570.98801	2489.23466	0	0	0	0	0	0	3
6	2	0	0.112403195	192.24955	933.502715	192.24955	3570.98801	2637.48529	0	0	0	0	0	0	3
7	2	0	0.13113706	202.093763	829.015722	192.24955	3570.98801	2741.97229	0	0	0	0	0	0	3
8	2	0	0.149870926	185.731848	748.605238	185.731848	3570.98801	2822.38277	0	0	0	0	0	0	3
9	2	0	0.168604792	179.051953	685.321539	179.051953	3570.98801	2885.66647	0	0	0	0	0	0	3
10	2	0	0.187338658	167.678691	633.557254	167.678691	3570.98801	2937.43075	0	0	0	0	0	0	3
11	3	0	0.206072523	157.499184	590.279248	157.499184	3570.98801	2980.70876	0	0	0	0	0	0	3
12	3	0	0.224806389	146.296645	553.280698	146.296645	3570.98801	3017.70731	0	0	0	0	0	0	3
13	3	0	0.243540255	136.779046	521.242109	136.779046	3570.98801	3049.7459	0	0	0	0	0	0	3
14	3	0	0.262274121	129.39277	493.252871	129.39277	3570.98801	3077.73514	0	0	0	0	0	0	3
15	3	0	0.281007986	123.902039	468.629482	123.902039	3570.98801	3102.35853	0	0	0	0	0	0	3
16	3	0	0.299741852	116.94026	446.648905	116.94026	3570.98801	3124.3391	0	0	0	0	0	0	3
17	4	0	0.318475718	110.377308	426.868223	110.377308	3570.98801	3144.11979	0	0	0	0	0	0	3
18	4	0	0.337209584	104.741887	408.972316	104.741887	3570.98801	3162.01569	0	0	0	0	0	0	3
19	4	0	0.355943449	99.504291	392.684525	99.504291	3570.98801	3178.30348	0	0	0	0	0	0	3
20	4	0	0.374677315	95.3803788	377.819318	95.3803788	3570.98801	3193.16869	0	0	0	0	0	0	3
21	4	0	0.393411181	91.5599749	364.18792	91.5599749	3570.98801	3206.80009	0	0	0	0	0	0	3
22	5	0	0.412145047	87.7750863	351.623701	87.7750863	3570.98801	3219.36431	0	0	0	0	0	0	3
23	5	0	0.430878912	84.1337021	339.993701	84.1337021	3570.98801	3230.99431	0	0	0	0	0	0	3
24	5	0	0.449612778	81.1948897	329.210417	81.1948897	3570.98801	3241.77759	0	0	0	0	0	0	3
25	5	0	0.468346644	78.6709558	319.188838	78.6709558	3570.98801	3251.79917	0	0	0	0	0	0	3
26	5	0	0.48708051	76.2603101	309.845433	76.2603101	3570.98801	3261.14258	0	0	0	0	0	0	3
27	5	0	0.505814375	73.8599886	301.105232	73.8599886	3570.98801	3269.88278	0	0	0	0	0	0	3
28	6	0	0.524548241	71.7894454	171.505285	71.7894454	986.35227	914.562825	0	0	0	0	0	0	3
29	6	0	0.543282107	69.9213258	137.563398	69.9213258	440.626915	370.705589	0	0	0	0	0	0	3
30	6	0	0.562015973	68.4578648	123.779359	68.4578648	215.890045	147.43218	0	0	0	0	0	0	3
31	6	0	0.580749839	67.2690929	119.051937	67.2690929	215.890045	148.620952	0	0	0	0	0	0	3
32	6	0	0.599483704	66.2933962	113.51132	66.2933962	202.093763	135.800367	0	0	0	0	0	0	3
33	7	0	0.61821757	65.4608621	108.815443	65.4608621	202.093763	136.632901	0	0	0	0	0	0	3
34	7	0	0.636951436	64.7176271	103.727438	64.7176271	185.731848	121.014221	0	0	0	0	0	0	3
35	7	0	0.655685302	63.9781088	99.2180401	63.9781088	179.051953	115.073844	0	0	0	0	0	0	3
36	7	0	0.674419167	63.2247766	94.9281447	63.2247766	167.678691	104.453914	0	0	0	0	0	0	3
37	7	0	0.693153033	62.62538	91.0372813	62.62538	157.499184	94.8738037	0	0	0	0	0	0	3
38	8	0	0.711886899	62.1019544	87.5040506	62.1019544	146.296645	84.1946902	0	0	0	0	0	0	3
39	8	0	0.730620765	61.4989315	84.3633946	61.4989315	136.779046	75.2801149	0	0	0	0	0	0	3
40	8	0	0.74935463	61.0100521	81.5571355	61.0100521	129.39277	68.3827183	0	0	0	0	0	0	3
41	8	0	0.768088496	60.5951094	79.009074	60.5951094	123.902039	63.3069292	0	0	0	0	0	0	3
42	8	0	0.786822362	60.4186632	76.6578379	60.4186632	116.94026	56.5215971	0	0	0	0	0	0	3
43	9	0	0.805556228	60.1825525	74.5557006	60.1825525	110.377308	50.1947554	0	0	0	0	0	0	3
44	9	0	0.824290093	60.035084	72.6911737	60.035084	104.741887	44.7068029	0	0	0	0	0	0	3
45	9	0	0.843023959	59.9369134	71.0317303	59.9369134	99.504291	39.5673776	0	0	0	0	0	0	3
46	9	0	0.861757825	59.8256411	69.5621507	59.8256411	95.3803788	35.5547377	0	0	0	0	0	0	3
47	9	0	0.880491691	59.7603944	68.242892	59.7603944	91.5599749	31.7995805	0	0	0	0	0	0	3
48	10	0	0.899225556	59.7782043	67.0657894	59.7603944	87.7750863	28.0146919	0	0	0	0	0	0	3
49	10	0	0.917959422	59.7844379	66.0290987	59.7603944	84.1337021	24.3733078	0	0	0	0	0	0	3
50	10	0	0.936693288	59.8879469	65.1311077	59.7603944	81.1948897	21.4344953	0	0	0	0	0	0	3
51	10	0	0.955427154	59.8728504	64.3414026	59.7603944	78.6709558	18.9105614	0	0	0	0	0	0	3
52	10	0	0.974161019	59.9733222	63.6488976	59.7603944	76.2603101	16.4999158	0	0	0	0	0	0	3
53	10	0	0.992894885	60.0535539	63.0486474	59.7603944	73.8599886	14.0995942	0	0	0	0	0	0	3
54	11	0	1.01162875	60.1548055	62.541048	59.7603944	71.7894454	12.029051	11.4259956	0	94.9	0	0	0	3
55	11	0	1.03036262	60.128235	62.1091513	59.7603944	69.9213258	10.1609314	11.4259956	0	100	0	0	0	3
56	11	0	1.04909648	60.2025074	61.7491951	59.7603944	68.4578648	8.69747041	11.4259956	0	100	0	0	0	3
57	11	0	1.06783035	60.2144562	61.4438837	59.7603944	67.2690929	7.50869854	11.4259956	0	100	0	0	0	3
58	11	0	1.08656421	60.3058489	61.1859858	59.7603944	66.2933962	6.53300186	11.4259956	0	100	0	0	0	3
59	12	0	1.10529808	60.3150549	60.9645657	59.7603944	65.4608621	5.70046776	11.4259956	0	100	0	0	0	3
60	12	0	1.12403195	60.3432816	60.7750257	59.7603944	64.7176271	4.95723271	11.4259956	0	100	0	0	0	3
61	12	0	1.14276581	60.3412008	60.6129358	59.7603944	63.9781088	4.21771442	11.4259956	0	100	0	0	0	3
62	12	0	1.16149968	60.4287844	60.4814794	59.7603944	63.2247766	3.46438218	11.4259956	0	100	0	0	0	3
63	12	0	1.18023354	60.4138992	60.3773728	59.7603944	62.62538	2.86498565	11.4259956	0	100	0	0	0	3
64	13	0	1.19896741	60.4367303	60.2963117	59.7603944	62.1019544	2.34156	11.4259956	0	100	0	0	0	3
65	13	0	1.21770127	60.4217953	60.2340836	59.7603944	61.4989315	1.73853709	11.4259956	0	100	0	0	0	3
66	13	0	1.23643514	60.5213449	60.1978767	59.7603944	61.0100521	1.2496577	11.4259956	0	100	0	0	0	3
67	13	0	1.25516901	60.467401	60.1777785	59.7603944	60.5951094	0.834714971	11.4259956	0	100	0	0	0	3
68	13	0	1.27390287	60.4992329	60.1742275	59.7603944	60.5213449	0.760950511	11.4259956	0	100	0	0	0	3
69	14	0	1.29263674	60.4624951	60.1758509	59.7603944	60.5213449	0.760950511	11.4259956	0	100	0	0	0	3
