Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0187338658	-293.795649	-293.795649	-293.795649	-293.795649	0	0	0	0	0	0	0	3
2	1	0	0.0374677315	-39.4454241	-166.620537	-293.795649	-39.4454241	127.175113	0	0	0	0	0	0	3
3	1	0	0.0562015973	-34.698794	-122.646622	-293.795649	-34.698794	171.149027	0	0	0	0	0	0	3
4	1	0	0.074935463	-33.4823094	-100.355544	-293.795649	-33.4823094	193.440105	0	0	0	0	0	0	3
5	2	0	0.0936693288	-11.0091996	-82.4862752	-293.795649	-11.0091996	211.309374	0	0	0	0	0	0	3
6	2	0	0.112403195	-22.29714	-72.4547527	-293.795649	-11.0091996	221.340896	0	0	0	0	0	0	3
7	2	0	0.13113706	-12.9652418	-63.9562511	-293.795649	-11.0091996	229.839398	0	0	0	0	0	0	3
8	2	0	0.149870926	-17.197361	-58.1113899	-293.795649	-11.0091996	235.684259	0	0	0	0	0	0	3
9	2	0	0.168604792	-11.5781452	-52.9410294	-293.795649	-11.0091996	240.85462	0	0	0	0	0	0	3
10	2	0	0.187338658	-12.0144259	-48.848369	-293.795649	-11.0091996	244.94728	0	0	0	0	0	0	3
11	3	0	0.206072523	-9.46223441	-45.2678113	-293.795649	-9.46223441	248.527838	0	0	0	0	0	0	3
12	3	0	0.224806389	-5.58004418	-41.9604974	-293.795649	-5.58004418	251.835152	0	0	0	0	0	0	3
13	3	0	0.243540255	-5.44839627	-39.1518742	-293.795649	-5.44839627	254.643775	0	0	0	0	0	0	3
14	3	0	0.262274121	-4.24275366	-36.6583656	-293.795649	-4.24275366	257.137284	0	0	0	0	0	0	3
15	3	0	0.281007986	-3.3124464	-34.4353043	-293.795649	-3.3124464	259.360345	0	0	0	0	0	0	3
16	3	0	0.299741852	-3.16628783	-32.4809908	-293.795649	-3.16628783	261.314658	0	0	0	0	0	0	3
17	4	0	0.318475718	-3.38117949	-30.7692372	-293.795649	-3.16628783	263.026412	0	0	0	0	0	0	3
18	4	0	0.337209584	-4.33560991	-29.3007024	-293.795649	-3.16628783	264.494947	0	0	0	0	0	0	3
19	4	0	0.355943449	-5.11654695	-28.0278521	-293.795649	-3.16628783	265.767797	0	0	0	0	0	0	3
20	4	0	0.374677315	-5.34143793	-26.8935314	-293.795649	-3.16628783	266.902118	0	0	0	0	0	0	3
21	4	0	0.393411181	-6.3431764	-25.914943	-293.795649	-3.16628783	267.880706	0	0	0	0	0	0	3
22	5	0	0.412145047	-6.73052091	-25.0429238	-293.795649	-3.16628783	268.752725	0	0	0	0	0	0	3
23	5	0	0.430878912	-6.76258426	-24.2481265	-293.795649	-3.16628783	269.547523	0	0	0	0	0	0	3
24	5	0	0.449612778	-7.40577874	-23.546362	-293.795649	-3.16628783	270.249287	0	0	0	0	0	0	3
25	5	0	0.468346644	-6.82989463	-22.8777033	-293.795649	-3.16628783	270.917946	0	0	0	0	0	0	3
26	5	0	0.48708051	-6.25370349	-22.2383187	-293.795649	-3.16628783	271.557331	0	0	0	0	0	0	3
27	5	0	0.505814375	-5.77619745	-21.6286105	-293.795649	-3.16628783	272.167039	0	0	0	0	0	0	3
28	6	0	0.524548241	-6.59096863	-10.9914001	-39.4454241	-3.16628783	36.2791362	0	0	0	0	0	0	3
29	6	0	0.543282107	-5.65031822	-9.73972951	-34.698794	-3.16628783	31.5325061	0	0	0	0	0	0	3
30	6	0	0.562015973	-6.0925695	-8.68023971	-33.4823094	-3.16628783	30.3160215	0	0	0	0	0	0	3
31	6	0	0.580749839	-5.80777548	-7.65525698	-22.29714	-3.16628783	19.1308522	0	0	0	0	0	0	3
32	6	0	0.599483704	-5.22578335	-7.44105637	-22.29714	-3.16628783	19.1308522	0	0	0	0	0	0	3
