Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0187338658	0	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0374677315	0	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0562015973	0	0	0	0	0	0	0	0	0	0	0	3
4	1	0	0.074935463	0	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0936693288	0	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.112403195	0	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.13113706	0	0	0	0	0	0	0	0	0	0	0	3
8	2	0	0.149870926	0	0	0	0	0	0	0	0	0	0	0	3
9	2	0	0.168604792	0	0	0	0	0	0	0	0	0	0	0	3
10	2	0	0.187338658	0	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.206072523	0	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.224806389	0	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.243540255	0	0	0	0	0	0	0	0	0	0	0	3
14	3	0	0.262274121	0	0	0	0	0	0	0	0	0	0	0	3
15	3	0	0.281007986	0	0	0	0	0	0	0	0	0	0	0	3
16	3	0	0.299741852	0	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.318475718	0	0	0	0	0	0	0	0	0	0	0	3
18	4	0	0.337209584	0	0	0	0	0	0	0	0	0	0	0	3
19	4	0	0.355943449	0	0	0	0	0	0	0	0	0	0	0	3
20	4	0	0.374677315	0	0	0	0	0	0	0	0	0	0	0	3
21	4	0	0.393411181	0	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.412145047	0	0	0	0	0	0	0	0	0	0	0	3
23	5	0	0.430878912	0	0	0	0	0	0	0	0	0	0	0	3
24	5	0	0.449612778	0	0	0	0	0	0	0	0	0	0	0	3
25	5	0	0.468346644	0	0	0	0	0	0	0	0	0	0	0	3
26	5	0	0.48708051	0	0	0	0	0	0	0	0	0	0	0	3
27	5	0	0.505814375	0	0	0	0	0	0	0	0	0	0	0	3
28	6	0	0.524548241	0	0	0	0	0	0	0	0	0	0	0	3
29	6	0	0.543282107	0	0	0	0	0	0	0	0	0	0	0	3
30	6	0	0.562015973	0	0	0	0	0	0	0	0	0	0	0	3
31	6	0	0.580749839	0	0	0	0	0	0	0	0	0	0	0	3
32	6	0	0.599483704	0	0	0	0	0	0	0	0	0	0	0	3
33	7	0	0.61821757	0	0	0	0	0	0	0	0	0	0	0	3
34	7	0	0.636951436	0	0	0	0	0	0	0	0	0	0	0	3
35	7	0	0.655685302	0	0	0	0	0	0	0	0	0	0	0	3
36	7	0	0.674419167	0	0	0	0	0	0	0	0	0	0	0	3
37	7	0	0.693153033	0	0	0	0	0	0	0	0	0	0	0	3
38	8	0	0.711886899	0	0	0	0	0	0	0	0	0	0	0	3
39	8	0	0.730620765	0	0	0	0	0	0	0	0	0	0	0	3
40	8	0	0.74935463	0	0	0	0	0	0	0	0	0	0	0	3
41	8	0	0.768088496	0	0	0	0	0	0	0	0	0	0	0	3
42	8	0	0.786822362	0	0	0	0	0	0	0	0	0	0	0	3
43	9	0	0.805556228	0	0	0	0	0	0	0	0	0	0	0	3
44	9	0	0.824290093	0	0	0	0	0	0	0	0	0	0	0	3
45	9	0	0.843023959	0	0	0	0	0	0	0	0	0	0	0	3
46	9	0	0.861757825	0	0	0	0	0	0	0	0	0	0	0	3
47	9	0	0.880491691	0	0	0	0	0	0	0	0	0	0	0	3
48	10	0	0.899225556	0	0	0	0	0	0	0	0	0	0	0	3
49	10	0	0.917959422	0	0	0	0	0	0	0	0	0	0	0	3
50	10	0	0.936693288	0	0	0	0	0	0	0	0	0	0	0	3
51	10	0	0.955427154	0	0	0	0	0	0	0	0	0	0	0	3
52	10	0	0.974161019	0	0	0	0	0	0	0	0	0	0	0	3
53	10	0	0.992894885	0	0	0	0	0	0	0	0	0	0	0	3
54	11	0	1.01162875	0	0	0	0	0	0.001	0	0	0	0	0	3
55	11	0	1.03036262	0	0	0	0	0	0.001	0	0	0	0	0	3
56	11	0	1.04909648	0	0	0	0	0	0.001	0	0	0	0	0	3
57	11	0	1.06783035	0	0	0	0	0	0.001	0	0	0	0	0	3
58	11	0	1.08656421	0	0	0	0	0	0.001	0	0	0	0	0	3
59	12	0	1.10529808	0	0	0	0	0	0.001	0	0	0	0	0	3
60	12	0	1.12403195	0	0	0	0	0	0.001	0	0	0	0	0	3
61	12	0	1.14276581	0	0	0	0	0	0.001	0	0	0	0	0	3
62	12	0	1.16149968	0	0	0	0	0	0.001	0	0	0	0	0	3
63	12	0	1.18023354	0	0	0	0	0	0.001	0	0	0	0	0	3
64	13	0	1.19896741	0	0	0	0	0	0.001	0	0	0	0	0	3
65	13	0	1.21770127	0	0	0	0	0	0.001	0	0	0	0	0	3
66	13	0	1.23643514	0	0	0	0	0	0.001	0	0	0	0	0	3
67	13	0	1.25516901	0	0	0	0	0	0.001	0	0	0	0	0	3
68	13	0	1.27390287	0	0	0	0	0	0.001	0	0	0	0	0	3
69	14	0	1.29263674	0	0	0	0	0	0.001	0	0	0	0	0	3
