Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0187338658	101325.468	101325.468	101325.468	101325.468	0	0	0	0	14802.3	0	0	3
2	1	0	0.0374677315	101325.148	101325.308	101325.148	101325.468	0.159824641	0	0	0	10600.1	0	0	3
3	1	0	0.0562015973	101325.12	101325.246	101325.12	101325.468	0.222449265	0	0	0	7034.79	0	0	3
4	1	0	0.074935463	101325.161	101325.224	101325.12	101325.468	0.243652146	0	0	0	4645.92	0	0	3
5	2	0	0.0936693288	101325.117	101325.203	101325.117	101325.468	0.265032496	0	0	0	3544.38	0	0	3
6	2	0	0.112403195	101325.144	101325.193	101325.117	101325.468	0.274847715	0	0	0	3190.46	0	0	3
7	2	0	0.13113706	101325.129	101325.184	101325.117	101325.468	0.283969443	0	0	0	2929.48	0	0	3
8	2	0	0.149870926	101325.124	101325.177	101325.117	101325.468	0.291420604	0	0	0	2376.32	0	0	3
9	2	0	0.168604792	101325.127	101325.171	101325.117	101325.468	0.296983314	0	0	0	1761.41	0	0	3
10	2	0	0.187338658	101325.112	101325.165	101325.112	101325.468	0.30291437	0	0	0	1441.7	0	0	3
11	3	0	0.206072523	101325.123	101325.161	101325.112	101325.468	0.306716547	0	0	0	1232.59	0	0	3
12	3	0	0.224806389	101325.103	101325.156	101325.103	101325.468	0.311599996	0	0	0	1031.59	0	0	3
13	3	0	0.243540255	101325.11	101325.153	101325.103	101325.468	0.315179929	0	0	0	861.069	0	0	3
14	3	0	0.262274121	101325.093	101325.149	101325.093	101325.468	0.319438503	0	0	0	758.594	0	0	3
15	3	0	0.281007986	101325.099	101325.145	101325.093	101325.468	0.322760701	0	0	0	755.756	0	0	3
16	3	0	0.299741852	101325.083	101325.141	101325.083	101325.468	0.326624254	0	0	0	774.164	0	0	3
17	4	0	0.318475718	101325.085	101325.138	101325.083	101325.468	0.329967415	0	0	0	766.296	0	0	3
18	4	0	0.337209584	101325.074	101325.135	101325.074	101325.468	0.333528099	0	0	0	757.971	0	0	3
19	4	0	0.355943449	101325.073	101325.131	101325.073	101325.468	0.336744718	0	0	0	746.007	0	0	3
20	4	0	0.374677315	101325.067	101325.128	101325.067	101325.468	0.339962537	0	0	0	729.449	0	0	3
21	4	0	0.393411181	101325.07	101325.125	101325.067	101325.468	0.342725938	0	0	0	711.351	0	0	3
22	5	0	0.412145047	101325.065	101325.123	101325.065	101325.468	0.345477645	0	0	0	703.585	0	0	3
23	5	0	0.430878912	101325.061	101325.12	101325.061	101325.468	0.348155479	0	0	0	690.028	0	0	3
24	5	0	0.449612778	101325.058	101325.117	101325.058	101325.468	0.350713444	0	0	0	676.951	0	0	3
25	5	0	0.468346644	101325.056	101325.115	101325.056	101325.468	0.353183829	0	0	0	664.182	0	0	3
26	5	0	0.48708051	101325.054	101325.113	101325.054	101325.468	0.355543122	0	0	0	654.362	0	0	3
27	5	0	0.505814375	101325.051	101325.11	101325.051	101325.468	0.357817649	0	0	0	641.891	0	0	3
28	6	0	0.524548241	101325.049	101325.095	101325.049	101325.161	0.111793971	0	0	0	626.604	0	0	3
29	6	0	0.543282107	101325.047	101325.091	101325.047	101325.161	0.113351831	0	0	0	604.204	0	0	3
30	6	0	0.562015973	101325.047	101325.088	101325.047	101325.161	0.11417907	0	0	0	581.945	0	0	3
31	6	0	0.580749839	101325.046	101325.084	101325.046	101325.144	0.0977848108	0	0	0	565.967	0	0	3
32	6	0	0.599483704	101325.045	101325.081	101325.045	101325.144	0.0993118313	0	0	0	548.924	0	0	3
33	7	0	0.61821757	101325.045	101325.078	101325.045	101325.129	0.0845821349	0	0	0	530.493	0	0	3
34	7	0	0.636951436	101325.044	101325.074	101325.044	101325.127	0.0821960931	0	0	0	516.761	0	0	3
35	7	0	0.655685302	101325.044	101325.071	101325.044	101325.127	0.0827908547	0	0	0	512.542	0	0	3
36	7	0	0.674419167	101325.043	101325.068	101325.043	101325.123	0.0804662351	0	0	0	508.345	0	0	3
37	7	0	0.693153033	101325.044	101325.066	101325.043	101325.123	0.0804662351	0	0	0	502.517	0	0	3
38	8	0	0.711886899	101325.043	101325.063	101325.043	101325.11	0.0670654361	0	0	0	494.256	0	0	3
39	8	0	0.730620765	101325.044	101325.061	101325.043	101325.11	0.0670654361	0	0	0	485.806	0	0	3
40	8	0	0.74935463	101325.043	101325.058	101325.043	101325.099	0.0559330833	0	0	0	476.631	0	0	3
41	8	0	0.768088496	101325.044	101325.056	101325.043	101325.099	0.0559330833	0	0	0	470.045	0	0	3
42	8	0	0.786822362	101325.045	101325.054	101325.043	101325.085	0.0417465752	0	0	0	462.411	0	0	3
43	9	0	0.805556228	101325.045	101325.053	101325.043	101325.085	0.0417465752	0	0	0	454.945	0	0	3
44	9	0	0.824290093	101325.046	101325.052	101325.043	101325.074	0.0311448282	0	0	0	446.532	0	0	3
45	9	0	0.843023959	101325.046	101325.051	101325.043	101325.073	0.030560695	0	0	0	438.377	0	0	3
