Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0187338658	293.2003	293.2003	293.2003	293.2003	0	0	0	0	0.146754	0	0	3
2	1	0	0.0374677315	293.200362	293.200331	293.2003	293.200362	3.11203886e-05	0	0	0	0.13473	0	0	3
3	1	0	0.0562015973	293.2004	293.200354	293.2003	293.2004	5.42804177e-05	0	0	0	0.13962	0	0	3
4	1	0	0.074935463	293.200428	293.200372	293.2003	293.200428	7.27136031e-05	0	0	0	0.135026	0	0	3
5	2	0	0.0936693288	293.200456	293.200389	293.2003	293.200456	8.94753579e-05	0	0	0	0.132388	0	0	3
6	2	0	0.112403195	293.200501	293.200408	293.2003	293.200501	0.000108176895	0	0	0	0.128718	0	0	3
7	2	0	0.13113706	293.200555	293.200429	293.2003	293.200555	0.000129206636	0	0	0	0.127812	0	0	3
8	2	0	0.149870926	293.200609	293.200451	293.2003	293.200609	0.000151712303	0	0	0	0.128518	0	0	3
9	2	0	0.168604792	293.200662	293.200475	293.2003	293.200662	0.000175097517	0	0	0	0.128706	0	0	3
10	2	0	0.187338658	293.200713	293.200499	293.2003	293.200713	0.000198945128	0	0	0	0.128324	0	0	3
11	3	0	0.206072523	293.200789	293.200525	293.2003	293.200789	0.000225351193	0	0	0	0.126964	0	0	3
12	3	0	0.224806389	293.200862	293.200553	293.2003	293.200862	0.000253452787	0	0	0	0.125073	0	0	3
13	3	0	0.243540255	293.200933	293.200582	293.2003	293.200933	0.000282647856	0	0	0	0.123079	0	0	3
14	3	0	0.262274121	293.201001	293.200612	293.2003	293.201001	0.000312568389	0	0	0	0.121163	0	0	3
15	3	0	0.281007986	293.201067	293.200643	293.2003	293.201067	0.000342900083	0	0	0	0.119901	0	0	3
16	3	0	0.299741852	293.201165	293.200675	293.2003	293.201165	0.000375533672	0	0	0	0.119201	0	0	3
17	4	0	0.318475718	293.201259	293.200709	293.2003	293.201259	0.000409870045	0	0	0	0.117648	0	0	3
18	4	0	0.337209584	293.20135	293.200745	293.2003	293.20135	0.000445428852	0	0	0	0.116024	0	0	3
19	4	0	0.355943449	293.201438	293.200782	293.2003	293.201438	0.000481894554	0	0	0	0.114356	0	0	3
20	4	0	0.374677315	293.201523	293.200819	293.2003	293.201523	0.000518969011	0	0	0	0.112733	0	0	3
21	4	0	0.393411181	293.201645	293.200858	293.2003	293.201645	0.000558324673	0	0	0	0.110129	0	0	3
22	5	0	0.412145047	293.201761	293.200899	293.2003	293.201761	0.000599374252	0	0	0	0.107677	0	0	3
23	5	0	0.430878912	293.20187	293.200941	293.2003	293.20187	0.00064158049	0	0	0	0.105191	0	0	3
24	5	0	0.449612778	293.201973	293.200984	293.2003	293.201973	0.000684560658	0	0	0	0.102797	0	0	3
25	5	0	0.468346644	293.202069	293.201028	293.2003	293.202069	0.000727963422	0	0	0	0.10033	0	0	3
26	5	0	0.48708051	293.202201	293.201073	293.2003	293.202201	0.000773096023	0	0	0	0.0967319	0	0	3
27	5	0	0.505814375	293.202318	293.201119	293.2003	293.202318	0.000819209989	0	0	0	0.0950389	0	0	3
28	6	0	0.524548241	293.202423	293.201197	293.200362	293.202423	0.000866742171	0	0	0	0.0950804	0	0	3
29	6	0	0.543282107	293.202515	293.201277	293.2004	293.202515	0.000923326233	0	0	0	0.0950378	0	0	3
30	6	0	0.562015973	293.202597	293.201359	293.200428	293.202597	0.000986263758	0	0	0	0.0950683	0	0	3
31	6	0	0.580749839	293.202701	293.201443	293.200456	293.202701	0.0010536939	0	0	0	0.0958064	0	0	3
