Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0187338658
2	1	0	0.0374677315
3	1	0	0.0562015973
4	1	0	0.074935463
5	2	0	0.0936693288
6	2	0	0.112403195
7	2	0	0.13113706
8	2	0	0.149870926
9	2	0	0.168604792
10	2	0	0.187338658
11	3	0	0.206072523
12	3	0	0.224806389
13	3	0	0.243540255
14	3	0	0.262274121
15	3	0	0.281007986
16	3	0	0.299741852
17	4	0	0.318475718
18	4	0	0.337209584
19	4	0	0.355943449
20	4	0	0.374677315
21	4	0	0.393411181
22	5	0	0.412145047
23	5	0	0.430878912
24	5	0	0.449612778
25	5	0	0.468346644
26	5	0	0.48708051
27	5	0	0.505814375
28	6	0	0.524548241
29	6	0	0.543282107
30	6	0	0.562015973
31	6	0	0.580749839
32	6	0	0.599483704
33	7	0	0.61821757
34	7	0	0.636951436
35	7	0	0.655685302
36	7	0	0.674419167
37	7	0	0.693153033
38	8	0	0.711886899
39	8	0	0.730620765
40	8	0	0.74935463
41	8	0	0.768088496
42	8	0	0.786822362
43	9	0	0.805556228
44	9	0	0.824290093
45	9	0	0.843023959
46	9	0	0.861757825
47	9	0	0.880491691
48	10	0	0.899225556
49	10	0	0.917959422
50	10	0	0.936693288
51	10	0	0.955427154
52	10	0	0.974161019
53	10	0	0.992894885
54	11	0	1.01162875
55	11	0	1.03036262
56	11	0	1.04909648
57	11	0	1.06783035
58	11	0	1.08656421
59	12	0	1.10529808
60	12	0	1.12403195
61	12	0	1.14276581
62	12	0	1.16149968
63	12	0	1.18023354
64	13	0	1.19896741
65	13	0	1.21770127
66	13	0	1.23643514
67	13	0	1.25516901
68	13	0	1.27390287
69	14	0	1.29263674
